,word,freq,likes,rt,reply,quotes
457,migar,10,12.0,0.0,5.0,0.0
458,moral,9,7.0,1.0,2.0,0.0
459,tocar,9,26.0,0.0,8.0,1.0
460,vsf,9,11.0,2.0,11.0,0.0
461,pote,9,27.0,0.0,14.0,0.0
462,negócio,9,105.0,1.0,17.0,0.0
463,pel,9,,,,
464,juntar,9,55.0,42.0,24.0,3.0
465,exatamente,9,17.0,2.0,8.0,0.0
466,jovem,9,48.0,2.0,24.0,2.0
467,realmente,9,1076.0,65.0,22.0,2.0
468,porteiro,9,32.0,3.0,8.0,0.0
469,contra,9,32.0,6.0,6.0,1.0
470,salário,9,62.0,14.0,15.0,0.0
471,aqu,9,,,,
472,filho,9,30.0,0.0,14.0,0.0
473,leite,9,263.0,509.0,24.0,2.0
474,daqui,9,17.0,0.0,18.0,0.0
475,rappibrasil,9,,,,
476,testar,9,33.0,6.0,14.0,0.0
477,palhaçada,9,17.0,0.0,8.0,0.0
478,madrugar,9,938.0,113.0,30.0,1.0
479,prestar,9,13.0,0.0,14.0,0.0
480,chapar,9,9.0,2.0,4.0,0.0
481,htt,9,,,,
482,fácil,9,22.0,90.0,8.0,2.0
483,motoqueiro,9,38.0,345.0,8.0,1.0
484,lanchinho,9,41.0,0.0,7.0,2.0
485,idear,9,12.0,231.0,2.0,0.0
486,certar,9,212.0,7.0,22.0,4.0
487,vergonha,9,49.0,1.0,14.0,1.0
488,botar,9,110.0,1726.0,14.0,1.0
489,acreditar,9,106.0,0.0,12.0,2.0
490,luan,9,47.0,3.0,3.0,0.0
491,picpay,9,6.0,2.0,6.0,0.0
492,claro,9,31.0,1.0,5.0,0.0
493,paulo,9,31.0,2.0,10.0,3.0
494,certeza,9,40.0,1.0,10.0,0.0
495,hein,9,55.0,20.0,11.0,0.0
496,horário,9,49.0,3.0,8.0,1.0
497,tao,9,77.0,0.0,13.0,0.0
498,abençoar,9,14.0,0.0,5.0,0.0
499,aguardar,9,31.0,13.0,5.0,1.0
500,cica_rock,9,,,,
501,online,9,26.0,0.0,11.0,0.0
502,kingseokjinbr,9,,,,
503,covid,8,45.0,39.0,13.0,0.0
504,remédio,8,31.0,0.0,7.0,0.0
505,provar,8,38.0,6.0,10.0,0.0
506,cigarrar,8,9.0,0.0,5.0,0.0
507,formar,8,60.0,4.0,14.0,0.0
508,banco,8,76.0,4.0,18.0,0.0
509,drogar,8,284.0,24.0,13.0,1.0
510,pobre,8,36.0,4.0,12.0,0.0
511,lindar,8,30.0,0.0,7.0,0.0
512,cuidar,8,17.0,1.0,7.0,1.0
513,pôr,8,31.0,0.0,8.0,2.0
514,mão,8,65.0,0.0,12.0,1.0
515,firmar,8,14.0,0.0,2.0,0.0
516,milkshake,8,13.0,0.0,8.0,0.0
517,srbigodexs,8,,,,
518,custar,8,68.0,0.0,23.0,0.0
519,palmeiro,8,2.0,1.0,2.0,0.0
520,alimentar,8,32.0,5.0,11.0,0.0
521,literalmente,8,346.0,206.0,33.0,6.0
522,sopa,8,37.0,1.0,13.0,0.0
523,ouvir,8,20.0,2.0,9.0,0.0
524,ninguém,8,143.0,1.0,28.0,0.0
525,céu,8,10.0,1.0,5.0,1.0
526,empregar,8,135.0,47.0,116.0,18.0
527,fds,8,28.0,1.0,4.0,0.0
528,mostrar,8,39.0,7290.0,5.0,0.0
529,livrar,8,63.0,26.0,10.0,1.0
530,bairro,8,12.0,0.0,14.0,0.0
531,desgraçar,8,33.0,4.0,7.0,0.0
532,promo,8,40.0,4.0,9.0,1.0
533,geral,8,944.0,36.0,28.0,1.0
534,super,8,12.0,3.0,8.0,0.0
535,simples,8,14.0,0.0,7.0,0.0
536,quebrar,8,20.0,2.0,3.0,0.0
537,frango,8,107.0,2.0,21.0,1.0
538,preciso,8,18.0,46.0,15.0,0.0
539,grátis,8,70.0,21.0,17.0,2.0
540,hrs,8,5.0,0.0,2.0,0.0
541,andreas,8,604.0,134.0,45.0,7.0
542,levantar,8,28.0,2.0,6.0,1.0
543,quantum,8,70.0,4.0,16.0,1.0
544,aprender,8,2620.0,614.0,138.0,17.0
545,salu,8,,,,
546,rolê,8,25.0,3.0,4.0,2.0
547,des,8,,,,
548,site,8,52.0,0.0,20.0,0.0
549,churro,8,30.0,0.0,7.0,2.0
550,gift,8,55.0,5.0,115.0,14.0
551,pagamento,8,72.0,0.0,7.0,0.0
552,netflix,8,67.0,2154.0,3.0,0.0
553,porém,8,30.0,2.0,12.0,1.0
554,aproveitar,8,56.0,4.0,8.0,0.0
555,indicar,8,16.0,0.0,12.0,0.0
556,dor,8,38.0,5.0,9.0,1.0
557,bullshitdu,8,,,,
558,matagaaaaaa,8,,,,
559,petição,8,2.0,0.0,1.0,0.0
560,burgão,8,16.0,0.0,2.0,0.0
561,fluxo_liviaff,8,,,,
562,mai,7,0.0,0.0,0.0,0.0
563,criticaduvidosa,7,,,,
564,rapaz,7,8.0,3032.0,2.0,0.0
565,rastreável,7,28.0,6.0,3.0,0.0
566,parir,7,1113.0,932.0,177.0,29.0
567,pow,7,6.0,0.0,5.0,0.0
568,sumir,7,21.0,0.0,12.0,0.0
569,curiosidade,7,11.0,42.0,11.0,0.0
570,doente,7,20.0,0.0,8.0,0.0
571,farmácia,7,23.0,4.0,16.0,0.0
572,louco,7,23.0,6.0,9.0,1.0
573,resumir,7,7.0,0.0,3.0,0.0
574,jairbolsonaro,7,,,,
575,apaixonar,7,4.0,0.0,0.0,0.0
576,dúvida,7,27.0,0.0,8.0,0.0
577,avisar,7,98.0,46.0,16.0,2.0
578,eai,7,7.0,8.0,0.0,0.0
579,forte,7,10.0,2.0,5.0,0.0
580,embora,7,49.0,0.0,12.0,0.0
581,restauran,7,,,,
582,lucxsramxs,7,,,,
583,experiência,7,14.0,2.0,5.0,1.0
584,medo,7,74.0,2.0,15.0,0.0
585,pego,7,41.0,0.0,15.0,0.0
586,beleza,7,34.0,0.0,6.0,0.0
587,talvez,7,8.0,0.0,10.0,0.0
588,centavo,7,43.0,0.0,11.0,1.0
589,atender,7,38.0,3.0,17.0,0.0
590,recusar,7,2623.0,308.0,136.0,17.0
591,japa,7,132.0,2.0,12.0,1.0
592,número,7,41.0,17.0,27.0,0.0
593,legal,7,24.0,0.0,8.0,0.0
594,cup,7,,,,
